numero_inscricao,query
210061103945,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210061103945;
"
210060214087,"
SELECT nu_inscricao, tp_status_redacao, nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao
FROM db.enem.base_enem
WHERE nu_inscricao = 210060214087;
"
210059980948,"
SELECT nu_inscricao, tp_status_redacao, nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao 
FROM db.enem.base_enem 
WHERE nu_inscricao = 210059980948;
"
210060801601,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210060801601;
"
210059085130,"
SELECT 
    no_municipio_esc,
    sg_uf_esc,
    nu_inscricao,
    tp_status_redacao,
    nu_nota_comp1,
    nu_nota_comp2,
    nu_nota_comp3,
    nu_nota_comp4,
    nu_nota_comp5,
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210059085130;
"
210060801595,"
SELECT 
    nu_inscricao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210060801595;
"
210060214081,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210060214081;
"
210059388087,"
SELECT nu_inscricao, no_municipio_esc, sg_uf_esc, tp_status_redacao, 
       nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao
FROM db.enem.base_enem
WHERE nu_inscricao = 210059388087;
"
210059980942,"
SELECT 
    no_municipio_esc,
    sg_uf_esc,
    nu_inscricao,
    tp_status_redacao,
    nu_nota_comp1,
    nu_nota_comp2,
    nu_nota_comp3,
    nu_nota_comp4,
    nu_nota_comp5,
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210059980942;
"
210058061534,"
SELECT nu_inscricao, 
       tp_status_redacao, 
       nu_nota_comp1, 
       nu_nota_comp2, 
       nu_nota_comp3, 
       nu_nota_comp4, 
       nu_nota_comp5, 
       nu_nota_redacao 
FROM db.enem.base_enem 
WHERE nu_inscricao = 210058061534;
"
210059855117,"
SELECT nu_inscricao, nu_nota_redacao, nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5
FROM db.enem.base_enem
WHERE nu_inscricao = 210059855117;
"
210058387328,"
SELECT 
    no_municipio_esc,
    sg_uf_esc,
    nu_inscricao,
    tp_status_redacao,
    nu_nota_comp1,
    nu_nota_comp2,
    nu_nota_comp3,
    nu_nota_comp4,
    nu_nota_comp5,
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210058387328;
"
210060801596,"
SELECT 
    nu_inscricao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210060801596;
"
