numero_inscricao,query,requisicao
210061103945,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210061103945;
",Sucesso
210060214087,"
SELECT nu_inscricao, tp_status_redacao, nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao
FROM db.enem.base_enem
WHERE nu_inscricao = 210060214087;
",Sucesso
210059980948,"
SELECT nu_inscricao, tp_status_redacao, nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao 
FROM db.enem.base_enem 
WHERE nu_inscricao = 210059980948;
",Sucesso
210060801601,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210060801601;
",Sucesso
210059085130,"
SELECT 
    no_municipio_esc,
    sg_uf_esc,
    nu_inscricao,
    tp_status_redacao,
    nu_nota_comp1,
    nu_nota_comp2,
    nu_nota_comp3,
    nu_nota_comp4,
    nu_nota_comp5,
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210059085130;
",Sucesso
210060801595,"
SELECT 
    nu_inscricao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao 
FROM 
    db.enem.base_enem 
WHERE 
    nu_inscricao = 210060801595;
",Sucesso
210060214081,"
SELECT 
    no_municipio_esc, 
    sg_uf_esc, 
    nu_inscricao, 
    tp_status_redacao, 
    nu_nota_comp1, 
    nu_nota_comp2, 
    nu_nota_comp3, 
    nu_nota_comp4, 
    nu_nota_comp5, 
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210060214081;
",Sucesso
210059388087,"
SELECT nu_inscricao, no_municipio_esc, sg_uf_esc, tp_status_redacao, 
       nu_nota_comp1, nu_nota_comp2, nu_nota_comp3, nu_nota_comp4, nu_nota_comp5, nu_nota_redacao
FROM db.enem.base_enem
WHERE nu_inscricao = 210059388087;
",Sucesso
210059980942,"
SELECT 
    no_municipio_esc,
    sg_uf_esc,
    nu_inscricao,
    tp_status_redacao,
    nu_nota_comp1,
    nu_nota_comp2,
    nu_nota_comp3,
    nu_nota_comp4,
    nu_nota_comp5,
    nu_nota_redacao
FROM 
    db.enem.base_enem
WHERE 
    nu_inscricao = 210059980942;
",Sucesso
210058061534,"
SELECT nu_inscricao, 
       tp_status_redacao, 
       nu_nota_comp1, 
       nu_nota_comp2, 
       nu_nota_comp3, 
       nu_nota_comp4, 
       nu_nota_comp5, 
       nu_nota_redacao 
FROM db.enem.base_enem 
WHERE nu_inscricao = 210058061534;
",Sucesso
