nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210061103945,140.0,200.0,100.0,120.0,140.0,700.0
210060214087,140.0,200.0,160.0,180.0,200.0,880.0
210059980948,120.0,120.0,120.0,120.0,80.0,560.0
210060801601,120.0,120.0,120.0,120.0,120.0,600.0
210059085130,140.0,200.0,160.0,160.0,200.0,860.0
210060801595,140.0,180.0,120.0,160.0,180.0,780.0
210060214081,140.0,200.0,160.0,180.0,120.0,800.0
210059388087,120.0,120.0,100.0,100.0,120.0,560.0
210059980942,120.0,120.0,100.0,120.0,100.0,560.0
210058061534,160.0,180.0,160.0,180.0,200.0,880.0
210059855117,120.0,120.0,120.0,120.0,0.0,480.0
210058387328,120.0,120.0,120.0,120.0,80.0,560.0
210060801596,100.0,160.0,120.0,120.0,40.0,540.0
210061103941,160.0,180.0,160.0,160.0,160.0,820.0
210059388088,160.0,200.0,160.0,180.0,180.0,880.0
210059980943,120.0,140.0,120.0,120.0,120.0,620.0
210058061535,120.0,120.0,100.0,120.0,80.0,540.0
210058387329,160.0,200.0,160.0,200.0,200.0,920.0
210059085132,120.0,120.0,120.0,120.0,120.0,600.0
210059527731,140.0,140.0,120.0,140.0,140.0,680.0
210060214083,120.0,160.0,120.0,120.0,0.0,520.0
210058061536,160.0,200.0,180.0,140.0,200.0,880.0
210061103943,180.0,200.0,160.0,200.0,200.0,940.0
210059980946,160.0,200.0,180.0,200.0,200.0,940.0
210059855121,120.0,140.0,100.0,120.0,120.0,600.0
210059085135,100.0,160.0,100.0,80.0,100.0,540.0
210059527734,80.0,160.0,120.0,80.0,120.0,560.0
210061103944,120.0,100.0,100.0,100.0,100.0,520.0
210060214086,120.0,120.0,100.0,120.0,140.0,600.0
210059388092,160.0,200.0,140.0,200.0,180.0,880.0
210059980947,140.0,160.0,140.0,120.0,160.0,720.0
210059855119,100.0,120.0,100.0,80.0,0.0,400.0
210058387330,120.0,120.0,120.0,120.0,60.0,540.0
210059085133,120.0,120.0,140.0,120.0,80.0,580.0
210061103942,120.0,180.0,100.0,120.0,80.0,600.0
210059388090,120.0,120.0,120.0,100.0,0.0,460.0
210059980945,80.0,100.0,100.0,100.0,120.0,500.0
210058061537,120.0,200.0,160.0,200.0,180.0,860.0
210058387331,120.0,180.0,120.0,120.0,100.0,640.0
210059085134,160.0,200.0,180.0,180.0,160.0,880.0
210060801599,160.0,160.0,160.0,180.0,180.0,840.0
210059527733,120.0,180.0,120.0,120.0,140.0,680.0
210058941499,160.0,200.0,160.0,160.0,160.0,840.0
210059959486,160.0,180.0,160.0,180.0,160.0,840.0
210058573821,120.0,120.0,120.0,120.0,120.0,600.0
210059246977,140.0,160.0,120.0,140.0,160.0,720.0
210059589782,160.0,180.0,180.0,200.0,200.0,920.0
210058941500,160.0,180.0,140.0,160.0,160.0,800.0
210059959487,100.0,120.0,120.0,100.0,40.0,480.0
210059982325,100.0,120.0,80.0,60.0,60.0,420.0
210060440980,120.0,140.0,120.0,140.0,100.0,620.0
210060373830,100.0,180.0,140.0,140.0,160.0,720.0
210061103946,0.0,0.0,0.0,0.0,0.0,0.0
210060214088,100.0,120.0,100.0,120.0,120.0,560.0
210059388093,120.0,120.0,100.0,120.0,80.0,540.0
210059980949,140.0,40.0,40.0,100.0,40.0,360.0
210058061540,120.0,140.0,120.0,120.0,120.0,620.0
210058387334,100.0,120.0,120.0,100.0,60.0,500.0
210059085138,120.0,180.0,100.0,120.0,80.0,600.0
210061103947,140.0,200.0,180.0,160.0,160.0,840.0
210059388094,120.0,160.0,120.0,120.0,160.0,680.0
210059246972,160.0,200.0,200.0,200.0,200.0,960.0
210061234981,120.0,120.0,120.0,100.0,100.0,560.0
210061327761,120.0,120.0,100.0,120.0,60.0,520.0
210059587846,180.0,200.0,200.0,200.0,200.0,980.0
210058941492,120.0,200.0,180.0,180.0,200.0,880.0
210059959482,120.0,120.0,120.0,120.0,120.0,600.0
210058573817,120.0,140.0,120.0,120.0,0.0,500.0
210061234982,140.0,180.0,140.0,140.0,120.0,720.0
210061337583,140.0,160.0,120.0,160.0,160.0,740.0
210059587847,160.0,180.0,180.0,160.0,200.0,880.0
210058941494,160.0,200.0,180.0,200.0,200.0,940.0
210060373826,120.0,140.0,100.0,100.0,140.0,600.0
210058573818,160.0,200.0,180.0,200.0,160.0,900.0
210059246974,80.0,80.0,100.0,100.0,0.0,360.0
210061234983,100.0,100.0,80.0,100.0,0.0,380.0
210059587848,80.0,120.0,120.0,120.0,100.0,540.0
210058941496,160.0,200.0,160.0,160.0,200.0,880.0
210059959484,120.0,180.0,160.0,140.0,100.0,700.0
210060440977,140.0,120.0,120.0,140.0,180.0,700.0
210060373827,140.0,200.0,160.0,200.0,200.0,900.0
210061234984,120.0,180.0,140.0,120.0,120.0,680.0
210059587849,140.0,180.0,140.0,140.0,120.0,720.0
210059959485,120.0,120.0,100.0,100.0,40.0,480.0
210059982323,160.0,180.0,160.0,140.0,160.0,800.0
210060373828,120.0,160.0,100.0,120.0,80.0,580.0
210059246976,140.0,160.0,140.0,160.0,160.0,760.0
210061234985,120.0,120.0,80.0,100.0,0.0,420.0
210061337589,180.0,200.0,200.0,200.0,180.0,960.0
210059589781,140.0,180.0,180.0,200.0,200.0,900.0
210058061541,160.0,200.0,180.0,200.0,180.0,920.0
210059855124,120.0,120.0,120.0,120.0,60.0,540.0
210058387335,120.0,160.0,120.0,120.0,100.0,620.0
210059085139,120.0,120.0,80.0,120.0,20.0,460.0
210060801603,120.0,120.0,140.0,200.0,140.0,720.0
210059527738,120.0,160.0,140.0,180.0,180.0,780.0
210059388095,160.0,120.0,140.0,140.0,200.0,760.0
210059980951,120.0,120.0,120.0,120.0,60.0,540.0
210058061542,120.0,180.0,120.0,140.0,140.0,700.0
210059855125,120.0,160.0,120.0,140.0,80.0,620.0
